店名,地址,电话
物美便利店（石龙店）,门头沟区永定镇何各庄中街1号院丽景长安13号楼底商,15010662699
多点便利店（四季青路店）,海淀区海淀区四季青路8号1层166,18515439551
永嘉生活超市,海淀区永丰嘉园四区,15034359997
四季如鲜生活超市,丰台区中奥嘉园经适房底商12号楼103号-104号,13718280299/18610327644
京东便利店,西城区黄寺大街佰隆大厦一层,13720062006
世纪华联超市,朝阳区望京北路39号澳洲康都4号楼一层,13161893892
世纪华联,西城区黄寺大街23号4号楼1层14_檀香玫瑰美容养生,15188579391
全家爱便利店（角门北路店）,丰台区角门北路58号,
京东便利店,大兴区旧宫清逸园甲区1幢1层6-102,15811092013
BLT精品超市（国贸商城店）,朝阳区建国门外大街1号国贸商城南区地下一层SB1061,010-65067977
乐邻便利店,朝阳区八里庄北里129号院1号楼1层105号,010-85918602
顺天府超市（府右街店）,西城区西什库大街31号,010-66181855
Ole精品超市（国贸商城店）,朝阳区建国门外大街1号国贸商城北区地下二层3B211,010-85351017
世纪华联超市,朝阳区四惠惠馨国际,15210809858
烟酒百货超市,大兴区旧宫镇佳和园小区西门底商（阳光佳和商店旁）,15811179345
京东便利店,通州区颐瑞中二路80号,
红番茄超市,大兴区南小街南路柒牌对面（近芳源里小区）,010-67923913
世纪华联超市,丰台区海户路珠江骏景北区26号楼底商,15810875717
世纪华联,丰台区航丰路1号院2楼1113号（时代财富天地华夏银行隔壁）,15701227357
超市,海淀区远大园二区甲1号一层010号,13611279397
华欣生活超市（黄寺店）,西城区黄寺大街23号阳光丽景A栋一层1012-1013号,15811519085
京客隆（京源店）,朝阳区新源街24号,010-64614706
华联生活超市（永顺路店）,通州区永顺路54附近,18310282837
福兰德超市,朝阳区古塔北路大众浴池旁,
华联超市,门头沟区门头沟增产路7号楼底商1-2室,18006404153
多点便利24小时,大兴区大兴区中冶德贤公馆,
超市发超市（北清路店）,海淀区友谊路102号院16号楼底商（近航天城）,010-68117107
华欣超市（翠城店）,朝阳区垡头翠城馨园北门302号楼10-2,13520388041
罗森,东城区东城区革新南路2号院,
生活超市,昌平区史各庄街道朱辛庄新区10号楼底商05号,13121127882
京客隆（久隆百货店）,朝阳区酒仙桥路39号久隆百货B1楼,010-64356776
华冠超市（蓝腾店）,房山区燕山影剧院南侧,010-89342576
罗森便利店（菜市口店）,西城区菜市口大街1号院,13436895634
京客隆（双龙店）,朝阳区双龙南里204号楼1层,010-87315736
华联超市（方庄店）,丰台区横一条,010-56285967
永辉超市（将台西路店）,朝阳区将台西路上东8号北楼,4000601933
全家爱超市（崇文门店）,东城区崇文门外大街18号,
绿叶子超市（大兴机场店）,大兴区北京大兴国际机场航站楼国际到达1层S-AR01-010安检外,
便民超市,海淀区中关村东路105号,
永辉超市（朝丰家园店）,朝阳区朝阳区朝丰家园,4008005050
幸福荣耀超市（安宁庄店）,海淀区安宁庄东路18号清河商业城1楼,010-57172837
华联生活超市,西城区月坛南街甲12号万丰怡和商务会馆地下1层,010-68013085
永辉超市（搜秀城店）,东城区搜秀商城B1,13161699973
永辉超市,朝阳区广渠路66号底商,
罗森便利店,顺义区T3航站楼国内C26登机口对面,
物美大卖场,西城区马甸桥南新风街3号,010-82081129/62032447
永辉超市（房山绿源店）,房山区西潞南大街1号楼绿源商城,010-60334100
物美（金宝街店）,东城区建国门北大街金城建国5号地下一层,
世纪华联超市,东城区南岗子街甲58号西南60米,
物美（建外SOHO店）,朝阳区东三环中路39号建外SOHO西区14号楼1楼1466室（近国贸地铁站）,010-58697943
春辉超市,东城区安定门内大街124号,15701002003
超市,西城区人民大会堂西路53号,
超市发超市（新镇店）,房山区阎河路新镇手机大卖场旁,
生活超市,丰台区马家堡角门南路,
永辉超市（半壁店）,通州区梨园镇半壁店怡乐南街东段,010-56466300
华联生活超市,大兴区海子角南街,
沃尔玛超市（朝外店）,朝阳区朝阳门外大街12号,010-85612386
北京华联生活超市,昌平区回龙观西大街111号,010-80753389
北京华联生活超市,昌平区回龙观西大街111号,010-80753389
物美超市（北洼路二店）,海淀区北洼路32号院底商,
皖豫超市,大兴区青云店镇大东公社小区34号楼,010-80216351
华联超市（回龙观店）,昌平区龙锦三街东口（近龙锦苑东二区）,010-60788128
世纪华联超市（史东仪店）,通州区西集镇史东仪村99号,
物美大卖场（大兴店）,大兴区黄村兴丰南大街东侧86号（星城商厦对面）,010-69209797
永辉超市（朝丰家园店）,朝阳区朝阳区朝丰家园,4008005050
万家福超市,朝阳区新北路与顾家庄北大街交叉口东100米,
清真恩典超市,西城区西城区牛街东里一区,
嘉园超市,海淀区海淀区北坞嘉园南里,
超市发（海中市场店）,海淀区东南小区,010-62627391
罗森便利店,顺义区T3航站楼国内C26登机口对面,
永辉超市（房山绿源店）,房山区西潞南大街1号楼绿源商城,010-60334100
华冠超市,房山区石楼大街22号,010-63195781
物美超市（定福庄店）,朝阳区定福庄家园南里1号院9号楼1至2层,
天天超市,大兴区永兴路5号,010-61256898
永辉超市（新河路店）,门头沟区新河路,
永辉超市（通州万达店）,通州区新华西街58号万达广场B1层,010-50906135
BHG生活超市（安贞店）,朝阳区安贞西里五区4号华联商厦B1,010-64445604
万家生活超市（资和信百货店）,丰台区西四环南路1号资和信百货商场1层底商,13521904361/010-63726992
华联生活超市（天通西苑三区店）,昌平区太平庄北街天通西苑三区2号楼,13718753321
BHG生活超市（华联上地购物中心店）,海淀区农大南路1号院1号楼华联上地购物中心B1层,010-82771188
绿叶子超市（嘉里中心店）,朝阳区光华路1号嘉里商场B1,010-65088239
永辉超市（万科金域国际店）,昌平区回龙观村金域国际中心,010-62908288
华联超市,通州区通燕高速辅路与013县道交叉口旁,010-80543316
永辉超市mini,通州区乔庄商场东尚智儿童城楼下,
物美·多点超市（玉桥中路店）,通州区玉桥中路6号附近,
华润万家便利超市（白纸坊店）,西城区鸭子桥路1号院4号楼102号103号（近速8）,010-63388978
罗森便利店（菜市口店）,西城区菜市口大街1号院,13436895634
京客隆（京源店）,朝阳区新源街24号,010-64614706
永辉超市（世界村店）,通州区环景路18号B1层,010-52361626
物美大卖场（乐家店）,大兴区京良路10号乐家购物中心B1层,010-80255982
主食超市（红莲南路店）,西城区马莲道东街15号,15116975029
华联超市（新华大街店）,通州区吉祥园21号楼21-2号西侧第2间,15810369885
华联超市,通州区通燕高速辅路与013县道交叉口旁,010-80543316
物美超市,石景山区玉泉西里二区29号楼1层,
生活超市（玉泉路店）,石景山区玉泉路11号院35号楼35-1,15001156687
罗森便利店（菜市口店）,西城区菜市口大街1号院,13436895634
京客隆（京源店）,朝阳区新源街24号,010-64614706
永辉超市（世界村店）,通州区环景路18号B1层,010-52361626
物美大卖场（乐家店）,大兴区京良路10号乐家购物中心B1层,010-80255982
万家生活超市（资和信百货店）,丰台区西四环南路1号资和信百货商场1层底商,13521904361/010-63726992
沃尔玛购物广场（建国路店）,朝阳区建国路93号院万达广场B座地下一层,010-59603566
京客隆超市,朝阳区横街子1队20号（宏凯达钢材对面）,13716006962
世纪华联超市,朝阳区吕家营住宅小区门口中街西物业小区172号,17600715378
沃尔玛（五棵松分店）,海淀区西翠路5号今日家园B1层（上品折扣）,010-88288407/4008301366
711（北京INN店）,东城区南竹杆胡同6号楼一层东北角,010-58642171/17600926725
军瑞批发超市,房山区北关大街6号,
BHG生活超市（华联上地购物中心店）,海淀区农大南路1号院1号楼华联上地购物中心B1层,010-82771188
绿叶子超市（嘉里中心店）,朝阳区光华路1号嘉里商场B1,010-65088239
宏金霖超市,房山区房山区荣景家园,
绿叶子超市（通盈店）,朝阳区南三里屯路1号楼101内地下一层B1-19单元,010-57809024
生活超市,昌平区史各庄街道朱辛庄新区10号楼底商05号,13121127882
韩国超市（旺角购物广场店）,朝阳区湖光北街9号旺角购物广场1层,18610756666
大星发超市,密云区沙岭大街53-5号,
物美（水晶港生活广场店）,大兴区康庄路28号水晶港生活广场1层,4001016016
家乐福（四元桥购物中心店）,朝阳区四元桥宜居南路2号楼四元桥购物中心2层,010-64773800
进口商品超市,房山区房山区启航国际三期,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
物美超市（燕化星城店）,房山区紫燕中路5号燕鹏星城商厦地上2层,4001016016
罗森（超市发华熙店）,海淀区复兴路69号华熙中心12号楼地下一层B1-16单元,15010650525
物美大卖场（门城店）,门头沟区门头沟城子东街1号,
福兰德超市（小店村店）,朝阳区贝贝佳幼儿园东北（金港南路南）,
永辉超市（康庄店）,大兴区枣园路28号院1号楼2层,4000601933
物美超市（龙湖长安天街店）,门头沟区新城东街17号院2号楼A馆-B1-Z01A馆-B3-Z01,010-69809363
物美超市,朝阳区北科创业大厦B1层,
优品悦家超市,西城区鼓楼西大街78号-2,
阳光超市,朝阳区八里庄东里39号楼东侧底商,13811636370
永辉超市（万科金域国际店）,昌平区回龙观村金域国际中心,010-62908288
天堂超市（五道口店）,海淀区五道口地铁旁东源大厦3层,18516966904
福兰德超市,朝阳区金盏路福海绿源连锁超市对面,
7-11（崇文门外大街店）,东城区崇文门外大街8号院1号楼1层102-03,
天堂超市（中关村店）,海淀区中关村大街49号,010-82888906/18518001869
家乐福（四元桥购物中心店）,朝阳区四元桥宜居南路2号楼四元桥购物中心2层,010-64773800
永辉超市（万达广场店）,丰台区南苑西路39号万达广场B1层,010-67985990
BHG生活超市（华联上地购物中心店）,海淀区农大南路1号院1号楼华联上地购物中心B1层,010-82771188
京客隆（双龙店）,朝阳区双龙南里204号楼1层,010-87315736
百世邻里生鲜超市（德茂街店）,大兴区德茂街18号院16幢-1层西-10、西-11,18301536836
华联超市（月季园店）,门头沟区滨河滨河霁月园3号楼106室,13661235319
京东便利店,丰台区黄陈路天伦锦城北门乙15号楼8号底商,13321163337
天堂超市（后海店）,西城区前海北沿13号会贤堂天堂超市（6号线B口出）,17611452359
家乐福（中关村广场店）,海淀区中关村大街中关村广场地下一层二层100080,010-51721589/13601312787
物美（水晶港生活广场店）,大兴区康庄路28号水晶港生活广场1层,4001016016
超市发（北京人家店）,昌平区二拨子新村,
永辉超市（世界村店）,通州区环景路18号B1层,010-52361626
7-11（亮马桥店）,朝阳区东方东路19号5号楼一层,010-85315296
大星发超市（顶秀美泉店）,怀柔区美泉商街甲904,010-69686178
北京特产超市,丰台区永外大街12号北京南站候车室,
点点超市,房山区阎村镇张庄工业园甲6号,
7-11（上地十街店）,海淀区上地东路1号院环洋大厦,13520522355
京客隆（大山子店）,朝阳区将台大山子北里1号楼甲1号,010-64373621
超市发（天通苑店）,昌平区太平庄东路天通苑东6区36号楼底商,010-84813561
华冠超市,房山区绿城百合公寓小区北区商业街5号商业楼一层,13810506352/13716493632
多点便利店（平西府地铁站站）,昌平区田园风光雅苑东区,15633566614
物美超市（南邵店）,昌平区南环南路路劲·世界城,010-69706684
点点超市,房山区阎村镇张庄工业园甲6号,
京客隆（大山子店）,朝阳区将台大山子北里1号楼甲1号,010-64373621
多点便利店（平西府地铁站站）,昌平区田园风光雅苑东区,15633566614
超市发（天通苑店）,昌平区太平庄东路天通苑东6区36号楼底商,010-84813561
物美超市（南邵店）,昌平区南环南路路劲·世界城,010-69706684
国泰超市（平谷店）,平谷区文化北街13号国泰百货地下一层,010-89994072
物美大卖场（云岗店）,丰台区云岗南区东里3号,4001016016
世纪华联超市,丰台区城南嘉园益城园11号楼1层1-103,13021941173
永辉超市（小红门店）,大兴区旧宫镇小红门路39号（近宣颐家园）,010-58310588
苏宁小店（上营东区店）,密云区上营东区19号楼1单元102,18518180327
华冠超市（金鑫园店）,房山区窦店镇金鑫苑小区2号商业楼3门（北京市房山区窦店镇金鑫苑小区2号商业楼3门）,010-80336128
7-11便利店,丰台区马家堡东路106号院1号楼月桂树酒店一层底商,010-53341382
9急送,海淀区建材城西路,4009192939
悠惠万家,东城区胡家园3号楼1层,010-64602030
便民超市,东城区天天家园1号楼1层101,18790436530
天堂超市（通州店）,通州区云景东路51号4层408（唱吧麦颂梨园店楼上）,18210818079
7-11（昌平东关店）,昌平区城北街道宁馨苑13号楼1至2层商3内一层,18600848987
7·ELEVEN（珠市口东大街北侧店）,东城区珠市口东大街19号1层西五号,18310057276
超市发（承泽苑）,门头沟区门头沟区承泽苑社区,010-60802955
物美超市（北七家店）,昌平区北七家镇的奥北宝迪酒店A区一层至三层,010-52858852
家乐福（隆华店）,顺义区站前街1号隆华购物中心2层,010-52947360
华欣超市（雅宝路店）,朝阳区外交部南街8号1层108C–1,18600813936
华冠超市（羊耳峪店）,房山区燕山羊耳峪,13911076027
便客超市,朝阳区东坝驹子房114号楼1层101,13691280014
双龙韩国超市（新华大街店）,通州区新华东街274-5号附近,13260380515
BHG生活超市（太阳宫凯德mall店）,朝阳区太阳宫中路12号太阳宫凯德MALL-B2楼（10号线太阳宫站）,010-84153833
永辉超市（龙旗广场店）,昌平区黄平路19号院龙旗购物中心底商NO.218（近文华路）,010-82540801
华联超市（紫竹桥店）,海淀区紫竹院甲32号,
华欣生活超市,海淀区4号楼一层101,13552086607
罗森（超市发华熙店）,海淀区复兴路69号华熙中心12号楼地下一层B1-16单元,15010650525
绿叶子超市（通盈店）,朝阳区南三里屯路1号楼101内地下一层B1-19单元,010-57809024
华冠超市（兴东大街店）,房山区城关街道兴东大街157号,010-69317478
绿叶子超市（通盈店）,朝阳区南三里屯路1号楼101内地下一层B1-19单元,010-57809024
全家便利店（学清路店）,海淀区学清路10号院1号楼A座1层106,010-62922518
永辉生活,石景山区鲁谷路远洋山水北区3号楼底商,010-63258188
永辉超市（西三旗店）,昌平区科星路霍营面粉厂附近（近东村家园，霍营地铁）,
京客隆便利店,大兴区黄村西大街169号,
京东便利店（枣园店）,大兴区枣园路枣园小区31号楼240号,13910429988
永辉超市（千禧街店）,丰台区千禧商业街B座（近西四环郑常庄）,010-88177981
物美品超市（白广路北口菜百地下一层）,西城区广安门内大街304号,
华欣超市（欢乐谷店）,朝阳区垡头西路18号商务楼,
华冠超市（欢乐城店）,房山区兴房大街38号华冠欢乐城1/2层,13911076027
家乐福（鲁谷店）,石景山区石景山路乙18号万达广场地下1层、0层,010-52990073
H 精品超市（延庆分店）,延庆区高塔街58-3号,4006266608
京客隆（双桥东路店）,朝阳区双桥东路甲10号零点特区B1-1层,010-65467075
华欣超市（三义庙店）,海淀区三义庙北8号楼福乐康家超市,18611896815
超市发（龙山华府店）,昌平区昌平区龙山华府南门东侧80米,010-50943688
永辉超市（喜隆多新国际店）,石景山区阜石路300号喜隆多新国际购物中心2层,010-88926612/4000601933
物美大卖场（太阳岛店）,石景山区石景山路31号盛景国际广场B1-2层,010-68924933
北京华联生活超市（印象城店）,海淀区翠微路12号印象城B1号,010-68281989
华联超市（花家地店）,朝阳区望京开发街道花家地南里9号楼,13301291123
永辉超市（龙旗广场店）,昌平区黄平路19号院龙旗购物中心底商NO.218（近文华路）,010-82540801
永辉超市（百子湾店）,朝阳区百子湾路15号大成国际中心（近金都杭城）,010-57859366
华欣生活超市（黄寺店）,西城区黄寺大街23号阳光丽景A栋一层1012-1013号,15811519085
AEON永旺超市（永旺国际北清路店）,昌平区北清路1号永旺国际商城购物中心1层,010-80700588
物美大卖场（北大地店）,丰台区西四环南路79号（北大地三里小区旁）,010-63890695
超市（贞观国际店）,大兴区大兴经海路七号院贞观国际2号楼102,15801677066
华联生活超市（尚峰尚水店）,海淀区白家瞳路温泉镇D28地块D2商业楼1层102（尚品园底商）,13681362315
友谊超市,海淀区北三环西路47号院友谊社区,13522960748
华联生活超市（亚运村店）,朝阳区安立路66号3号楼1层2-12室,15701002005
BHG生活超市（常营店）,朝阳区朝阳北路17号华联购物中心东区B1层,010-56857299
永辉超市（金泉广场店）,朝阳区大屯里318号金泉广场B1层,010-84855535
婕妮璐jennylou's进口超市（新城国际店）,朝阳区金桐西路新城国际17号楼1层101,010-65336791
BHG生活超市（太阳宫凯德mall店）,朝阳区太阳宫中路12号太阳宫凯德MALL-B2楼（10号线太阳宫站）,010-84153833
物美超市（物美北师大店）,海淀区学院南路北京师范大学乐育7号楼与8号楼之间,
双龙超市（紫南店）,朝阳区大柳树紫南家园108号华瀚商业中心A座,010-87350010
友谊超市,海淀区北三环西路47号院友谊社区,13522960748
便利蜂（远洋新天地一期）,门头沟区门头沟区远洋新天地2号楼一层125号,18618139140
华联生活超市（亚运村店）,朝阳区安立路66号3号楼1层2-12室,15701002005
雁栖超市,怀柔区怀柔雁栖湖中国科学院大学,
BHG生活超市（太阳宫凯德mall店）,朝阳区太阳宫中路12号太阳宫凯德MALL-B2楼（10号线太阳宫站）,010-84153833
世纪华联超市（西直门店）,西城区前半壁街甲21号附近,
华联超市,顺义区高丽营镇顺沙路25号1幢1层1-5室,15911146772
7FRESH生鲜超市（华宇时尚购物中心店）,海淀区中关村南大街2号华宇时尚购物中心B1层,010-51705538/010-51705539
永辉超市（住总万科广场店）,大兴区旧宫东西大街住总万科广场B1层,010-87141772/4000601933
超市发（上庄店）,海淀区海淀区上庄馨怡家园（海淀嘉郡）9号楼底商,
物美品超市（白广路北口菜百地下一层）,西城区广安门内大街304号,
家乐福（鲁谷店）,石景山区石景山路乙18号万达广场地下1层、0层,010-52990073
永辉超市（草桥店）,丰台区北甲地路10号院3号楼（近镇国寺北街）,010-59813213
便利蜂（天通北苑一区店）,昌平区立汤路天通北苑一区甲6号楼西南侧底商,4000001234
物美大卖场（鼓楼店）,密云区鼓楼南大街1号,010-69042677
超市,顺义区南法信大街118号院,
物美超市,昌平区天权路2号院,4001016016
京东便利店,朝阳区日坛北路17号院1号楼1层11010,15300282589
天堂超市（通州店）,通州区云景东路51号4层408（唱吧麦颂梨园店楼上）,18210818079
华联生活超市,海淀区北蜂窝中路8号（北蜂窝中路与信悦华庭路交叉口西南角）,17744498130
烟酒超市,朝阳区仰山路万科星园甲3号楼1层A4,13521159810
超市发超市（宝盛里店）,海淀区北五环外宝盛北里西区28号楼,010-62997546
物美大卖场（新隆店）,门头沟区新桥南大街18号,010-69842091
家乐福（中关村广场店）,海淀区中关村大街中关村广场地下一层二层100080,010-51721589/13601312787
南顶生鲜超市（南顶路店）,丰台区南顶路甲23号,010-67227763
物美便利超市（郭庄北里店）,东城区郭庄北里6-3号,
永辉超市（枫尚世纪奥莱店）,顺义区后沙峪镇裕民大街45号院枫尚世纪奥特莱斯购物广场B1层,010-80476562
超市发,海淀区太舟坞路水岸家园配套商业楼,010-62458929
兴杨盛超市（大槐树店）,怀柔区北京兴杨盛商贸有限公司（北京市怀柔区杨宋镇杨宋庄村430号）,18801417058
物美便利超市（星园店）,丰台区芳星园一区9号楼底商,010-67632387/67656327
婕妮璐jennylou's进口超市（新城国际店）,朝阳区金桐西路新城国际17号楼1层101,010-65336791
多点便利店（石景山医院店）,石景山区石景山路24号南楼一层底商1号,15801080717
永辉超市（枫尚世纪奥莱店）,顺义区后沙峪镇裕民大街45号院枫尚世纪奥特莱斯购物广场B1层,010-80476562
物美便利超市（天东店）,东城区天坛内东里1号（近天坛东门）,010-65112627
365烟酒便利超市,房山区窦店镇下坡店大窦路腾龙家园（一区）,
便利蜂(悦邻店）（悦邻店）,海淀区吴家场路1悦邻百姓生活广场,
烟酒超市,朝阳区仰山路万科星园甲3号楼1层A4,13521159810
点点超市（坨里南店）,房山区阎河路坨里南大街85号院,
婕妮王超市（优山店）,朝阳区建国门外大街17号友谊商店1层,010-52320126
家乐福（阳光新生活广场店）,通州区九棵树西路48号阳光新生活广场2层3层,010-51678902
永辉超市（马家堡店）,丰台区马家堡东路106号自然新天地A栋,010-87273695
首航超市（小东高地店）,丰台区东高地三栋前平房中段（三角地小区东）,010-88521094
华联生活超市（马甸店）,海淀区马甸换新西村5号楼北侧楼房一层,15811139196
罗森（大兴星牌共享际店）,大兴区兴业大街三段26号共享际一层L1001（三段）,15311867816
康乐超市,朝阳区日坛北路6号日坛公园西门附近,13521370211
物美大卖场（北大地店）,丰台区西四环南路79号（北大地三里小区旁）,010-63890695
超市（航天万源店）,大兴区旧宫镇旧宫西路93号3号楼1层,
物美大卖场（甘露园店）,朝阳区朝阳路甘露园4号楼1-3楼（近国美电器）,010-85738399
盒马鲜生,东城区东打磨厂街7号新活馆2层,010-67017802
世纪华联超市,通州区张家湾镇光华路57号1层01号,13161713920
世纪华联超市（红居街店）,西城区红居街4号楼1层105,15711087921
惠利元生活超市,丰台区西局玉园南区,
物美生活超市（航天部医院店）,石景山区玉泉路北丙19号（玉泉路西侧科大商场）,4001016016
吉祥服务部,海淀区中关村南大街5号北京理工大学校内,
家乐福（北京八里庄店）,朝阳区慈云寺北里118号楼1层101内、107、-1层-102内02,13681336978
大星发超市,密云区行宫小区10号楼,010-69686178
欧尚超市（西红门店）,大兴区欣宁街15号荟聚购物中心K区1层,010-52592288
永辉超市（合生世界村店）,通州区马驹桥镇,
华联生活超市,房山区房山北大街33号4幢,13581726467
永辉超市（天宫院店）,大兴区华佗路凯德广场B2层,010-61256987
沃尔玛山姆会员店（亦庄文化园东路店）,大兴区文化东路6号,010-67859228/67859229
711便利店（欢乐谷店）,朝阳区金蝉欢乐园2号院甲1号楼一层108-01-02的一部分,18513135832
华欣连锁超市（三元桥店）,朝阳区静安东里乙18号,15010606858
永辉超市（新世界百货顺义店）,顺义区新顺南大街18号新世界百货B1层,010-60406496
7-11（东坝中路一号店）,朝阳区东坝中路38号楼一层L101号,17611319871
世纪华联超市（五爱屯西街2800店）,丰台区南苑乡五爱屯西街飞腾家园3号院1号楼1单元101,13601293896/010-67936709
超市发,海淀区太舟坞路水岸家园配套商业楼,010-62458929
嘉园超市,海淀区西钓鱼台2号地5号楼A03号,010-68797974/18511381391
京客隆（连心园店）,朝阳区常营乡连心园小区一层,010-58234368
家园超市（太仆寺街店）,西城区太仆寺街34号商铺（红红烤鸭店旁）,17775256765
超市（良乡大学城店）,房山区学园北街26号院4号楼2层214,13910696337
华联生活超市,房山区琉璃河金水家园,010-60393297
佳家生活超市,门头沟区永定镇金沙西街19号院6号楼103、6号楼104,13269879898
便利蜂(悦邻店）（悦邻店）,海淀区吴家场路1悦邻百姓生活广场,
世纪华联超市,通州区张家湾镇光华路57号1层01号,13161713920
罗森（大兴星牌共享际店）,大兴区兴业大街三段26号共享际一层L1001（三段）,15311867816
盒马鲜生（大郊亭芳圆里店）,朝阳区东四环中路189号B1001,010-83050311
欧尚超市（西红门店）,大兴区欣宁街15号荟聚购物中心K区1层,010-52592288
永辉超市（温都水城店）,昌平区北七家镇郑各庄温都水城文化广场,010-59543136
烟酒茶超市,东城区炮局头条,
华源超市（北小营店）,昌平区马池口镇北小营村538-4号,18614099880
麦德龙（万泉河商场店）,海淀区新建宫门路1号（近海淀公园）,010-62869888
华联生活超市,通州区中上园物业处,13501167897
永辉超市（增光路店）,海淀区增光路45号（劳动关系学院东门北侧）,010-88562969
烟酒超市,大兴区黄村兴华大街,13552090691
华联生活超市,房山区房山北大街33号4幢,13581726467
